# Demo course catalog, read by com.lms.seed.SeedCatalog.
# code | name | credit hours | kind (REGULAR or PROJECT) | description | CLO statements separated by ";"
# Lines starting with # are ignored.

# ── Shared first year (BS CS, BS SE, BS AI) ──────────────────────────────────

# ── BS CS core and electives ─────────────────────────────────────────────────
CS-201|Data Structures and Algorithms|4|REGULAR|Linear and non-linear data structures, sorting and searching, and complexity analysis, with a weekly lab.|Explain the working of linear data structures such as stacks, queues and linked lists;Implement trees, heaps and hash tables for efficient data access;Analyse the time and space complexity of algorithms using asymptotic notation;Apply graph algorithms such as BFS, DFS and shortest paths to practical problems
CS-203|Computer Organization and Assembly Language|3|REGULAR|Processor architecture, instruction sets, addressing modes, and assembly programming for the x86 family.|Describe the organisation of a processor, memory and I/O subsystems;Write assembly language programs using registers, addressing modes and procedures;Analyse the execution of machine instructions and interrupts
MT-201|Linear Algebra|3|REGULAR|Systems of linear equations, matrices, vector spaces, linear transformations, eigenvalues and applications in computing.|Solve systems of linear equations using matrix methods;Explain vector spaces, bases and linear transformations;Compute eigenvalues and eigenvectors and apply them to computing problems
SE-201|Software Engineering|3|REGULAR|Software process models, requirements, design, testing, and project management in the software development life cycle.|Describe software process models and the phases of the development life cycle;Prepare requirements and design artefacts using UML;Apply basic testing and project management techniques in a team project
HU-201|Ideology and Constitution of Pakistan|2|REGULAR|The Pakistan Movement, ideology of Pakistan, constitutional history and the salient features of the 1973 Constitution.|Explain the ideological foundations of Pakistan;Describe the major phases of constitutional development in Pakistan;Discuss the salient features of the 1973 Constitution and fundamental rights
CS-202|Database Systems|4|REGULAR|Relational model, SQL, ER modelling, normalisation, transactions and indexing, with a weekly lab.|Design conceptual database models using ER diagrams;Write SQL queries for data definition, manipulation and reporting;Normalise relational schemas up to BCNF;Explain transaction processing, concurrency control and recovery
CS-204|Operating Systems|4|REGULAR|Processes and threads, CPU scheduling, synchronisation, deadlocks, memory management and file systems, with a weekly lab.|Explain the structure of an operating system and the process abstraction;Analyse CPU scheduling algorithms and synchronisation mechanisms;Apply memory management techniques including paging and virtual memory;Write system programs using processes, threads and system calls
CS-206|Design and Analysis of Algorithms|3|REGULAR|Algorithm design paradigms: divide and conquer, greedy, dynamic programming, graph algorithms, and NP-completeness.|Analyse the correctness and running time of algorithms;Apply divide and conquer, greedy and dynamic programming techniques;Explain the classes P and NP and the idea of NP-completeness
MT-202|Probability and Statistics|3|REGULAR|Descriptive statistics, probability, random variables, distributions, estimation and hypothesis testing.|Summarise data using descriptive statistics and graphs;Apply probability rules and distributions to model random phenomena;Perform estimation and hypothesis tests on sample data
HU-202|Technical and Business Writing|3|REGULAR|Writing reports, proposals, emails, CVs and technical documents for professional audiences.|Write clear technical reports and proposals;Prepare professional correspondence such as emails, memos and CVs;Present technical information to non-technical audiences
CS-301|Computer Networks|4|REGULAR|Layered network architecture, application protocols, TCP/UDP, IP routing, link layer and network security basics, with a weekly lab.|Explain the layered architecture of computer networks;Analyse transport-layer protocols including TCP congestion control;Apply IP addressing, subnetting and routing algorithms;Configure and troubleshoot small networks using standard tools
CS-303|Theory of Automata|3|REGULAR|Regular languages, finite automata, context-free grammars, pushdown automata and Turing machines.|Construct finite automata and regular expressions for regular languages;Design context-free grammars and pushdown automata;Explain Turing machines and the limits of computation
AI-301|Artificial Intelligence|3|REGULAR|Intelligent agents, search, adversarial search, knowledge representation, reasoning under uncertainty and an introduction to learning.|Explain the concept of intelligent agents and their environments;Apply uninformed and informed search algorithms to problem solving;Represent knowledge using logic and reason under uncertainty
CS-305|Web Technologies|3|REGULAR|HTML, CSS, JavaScript, client-server architecture, server-side development and web application security.|Build responsive web pages using HTML, CSS and JavaScript;Develop server-side web applications connected to a database;Apply common practices for securing web applications
MT-301|Numerical Computing|3|REGULAR|Error analysis, root finding, interpolation, numerical differentiation and integration, and solving linear systems.|Analyse errors in numerical computation;Apply numerical methods for root finding and interpolation;Implement numerical integration and linear system solvers
CS-302|Compiler Construction|3|REGULAR|Lexical analysis, parsing, semantic analysis, intermediate code generation and optimisation.|Explain the phases of a compiler;Construct lexical analysers and parsers for a small language;Generate intermediate code and apply basic optimisations
CS-304|Parallel and Distributed Computing|3|REGULAR|Parallel architectures, shared and distributed memory programming, OpenMP, MPI and performance analysis.|Explain parallel architectures and models of parallel computation;Develop parallel programs using OpenMP and MPI;Analyse the speed-up and scalability of parallel programs
CS-306|Information Security|3|REGULAR|Security principles, cryptography, authentication, access control, network and software security.|Explain core security principles and common threats;Apply symmetric and public-key cryptography to secure data;Evaluate authentication and access control mechanisms
CS-308|Human Computer Interaction|3|REGULAR|User-centred design, usability principles, prototyping and evaluation of interactive systems.|Explain human factors and usability principles;Design user interface prototypes using user-centred methods;Evaluate interfaces using heuristic evaluation and user testing
HU-302|Entrepreneurship|2|REGULAR|Entrepreneurial mindset, idea generation, business models, startup financing and the Pakistani startup ecosystem.|Explain the entrepreneurial process and mindset;Develop a business model canvas for a technology idea;Pitch a startup idea to potential investors
CS-491|Final Year Project I|3|PROJECT|First part of the capstone project: problem identification, literature review, requirements and design.|Identify a real-world problem and review related work;Prepare a project proposal with requirements and a work plan;Design the architecture of the proposed system;Present and defend the project proposal
AI-302|Machine Learning|3|REGULAR|Supervised and unsupervised learning, model evaluation, regression, classification, clustering and ensemble methods.|Explain the core concepts of supervised and unsupervised learning;Apply regression, classification and clustering algorithms to datasets;Evaluate models using validation techniques and performance metrics
CS-401|Cloud Computing|3|REGULAR|Cloud service and deployment models, virtualisation, containers, cloud storage and designing scalable applications.|Explain cloud service and deployment models;Deploy applications using virtual machines and containers;Design scalable and fault-tolerant cloud architectures
CS-403|Mobile Application Development|3|REGULAR|Mobile platforms, UI design, data storage, networking and publishing apps using Android and cross-platform frameworks.|Design mobile user interfaces following platform guidelines;Develop mobile applications with local storage and network access;Test and publish a mobile application
HU-401|Professional Practices|3|REGULAR|Computing ethics, professional codes of conduct, intellectual property, cyber laws of Pakistan and workplace skills.|Explain professional codes of ethics for computing practitioners;Analyse legal issues including intellectual property and PECA 2016;Discuss the social impact of computing through case studies
CS-492|Final Year Project II|3|PROJECT|Second part of the capstone project: implementation, testing, documentation and final demonstration.|Implement the designed system using appropriate tools;Test and evaluate the system against its requirements;Write a complete project report;Demonstrate and defend the final project
CS-402|Computer Graphics|3|REGULAR|Raster graphics, 2D and 3D transformations, viewing, shading, and programming with OpenGL.|Explain the graphics pipeline and raster algorithms;Apply 2D and 3D geometric transformations and projections;Develop interactive graphics programs using OpenGL
CS-404|Big Data Analytics|3|REGULAR|Big data characteristics, distributed storage, MapReduce, Spark and data analytics pipelines.|Explain the characteristics and challenges of big data;Process large datasets using MapReduce and Spark;Build data analytics pipelines for real-world datasets
CS-406|Blockchain Technologies|3|REGULAR|Cryptographic foundations, consensus, Bitcoin, Ethereum, smart contracts and decentralised applications.|Explain the cryptographic building blocks of blockchains;Compare consensus mechanisms used in blockchain networks;Develop simple smart contracts for decentralised applications
HU-402|Civics and Community Engagement|2|REGULAR|Citizenship, civic rights and responsibilities, community service and social action projects.|Explain the rights and responsibilities of citizens;Analyse community problems and their causes;Plan and carry out a community engagement activity

# ── BS SE specialisation ──────────────────────────────────────────────────────
SE-202|Software Requirements Engineering|3|REGULAR|Requirements elicitation, analysis, specification, validation and management.|Apply elicitation techniques such as interviews and workshops;Specify functional and non-functional requirements in an SRS;Validate and manage requirements throughout a project
SE-301|Software Design and Architecture|3|REGULAR|Design principles, design patterns, architectural styles and documenting software architecture.|Explain software design principles such as coupling and cohesion;Apply object-oriented design patterns to design problems;Evaluate architectural styles for a given system
SE-303|Software Construction and Development|3|REGULAR|Clean code, refactoring, version control, code reviews, build automation and unit testing.|Write readable and maintainable code following coding standards;Use version control, build tools and continuous integration;Refactor code and write unit tests
SE-302|Software Quality Engineering|3|REGULAR|Quality models, software testing techniques, test management, metrics and quality assurance processes.|Explain software quality models and standards;Design test cases using black-box and white-box techniques;Measure software quality using metrics and reviews
SE-304|Software Project Management|3|REGULAR|Project planning, estimation, scheduling, risk management, tracking and agile project management.|Estimate the size, effort and cost of software projects;Prepare project schedules and risk management plans;Apply agile practices such as Scrum to manage a project
SE-401|Software Re-Engineering|3|REGULAR|Software maintenance, reverse engineering, refactoring legacy systems and migration strategies.|Explain software evolution and maintenance activities;Apply reverse engineering techniques to legacy code;Plan the migration of legacy systems to modern platforms
SE-403|Formal Methods in Software Engineering|3|REGULAR|Formal specification, set theory and logic for specification, Z notation and model checking.|Write formal specifications using logic and set notation;Verify properties of specifications using model checking;Explain the role of formal methods in safety-critical systems
SE-402|Agile Software Development|3|REGULAR|Agile values, Scrum, Kanban, user stories, test-driven development and DevOps practices.|Explain agile values, principles and frameworks;Write user stories and plan sprints;Apply test-driven development and continuous delivery
SE-404|Web Engineering|3|REGULAR|Engineering large web applications: architectures, REST APIs, frameworks, performance and deployment.|Design web application architectures and REST APIs;Develop web applications using modern frameworks;Evaluate web applications for performance and security

# ── BS AI specialisation ──────────────────────────────────────────────────────
AI-201|Programming for Artificial Intelligence|3|REGULAR|Python programming for AI: data structures, NumPy, pandas, visualisation and scikit-learn basics.|Write Python programs using core data structures and functions;Manipulate and visualise data using NumPy, pandas and Matplotlib;Build simple machine learning pipelines using scikit-learn
AI-303|Knowledge Representation and Reasoning|3|REGULAR|Logic, ontologies, semantic networks, rule-based systems and reasoning under uncertainty.|Represent knowledge using first-order logic and ontologies;Apply inference techniques in rule-based systems;Model uncertainty using Bayesian networks
AI-304|Computer Vision|3|REGULAR|Image formation, filtering, features, segmentation, object detection and deep learning for vision.|Explain image formation and basic image processing operations;Apply feature extraction and segmentation techniques;Develop object detection models using deep learning
AI-306|Deep Learning|3|REGULAR|Neural networks, backpropagation, CNNs, RNNs, regularisation and training deep models with PyTorch.|Explain the architecture and training of neural networks;Implement convolutional and recurrent networks;Apply regularisation and optimisation techniques to train deep models
AI-308|Natural Language Processing|3|REGULAR|Text processing, language models, word embeddings, sequence labelling and transformers.|Apply text preprocessing and language modelling techniques;Use word embeddings for text classification;Build NLP applications using transformer models
AI-401|Reinforcement Learning|3|REGULAR|Markov decision processes, dynamic programming, Monte Carlo methods, Q-learning and deep RL.|Formulate problems as Markov decision processes;Apply dynamic programming and temporal difference methods;Implement deep reinforcement learning agents
AI-403|Introduction to Robotics|3|REGULAR|Robot kinematics, sensors, actuators, motion planning and robot control using ROS.|Explain the kinematics of robot manipulators;Use sensors and actuators for robot perception and control;Plan robot motion using standard algorithms
AI-402|Generative AI and Large Language Models|3|REGULAR|Generative models, transformers, large language models, prompting, fine-tuning and responsible use.|Explain generative models including VAEs, GANs and transformers;Apply prompting and fine-tuning to large language models;Evaluate the risks and responsible use of generative AI
AI-404|Evolutionary Computing|3|REGULAR|Genetic algorithms, genetic programming, swarm intelligence and multi-objective optimisation.|Explain the principles of evolutionary algorithms;Apply genetic algorithms to optimisation problems;Compare swarm intelligence techniques on benchmark problems

# ── MS CS ─────────────────────────────────────────────────────────────────────
CS-601|Advanced Analysis of Algorithms|3|REGULAR|Asymptotic analysis, amortised analysis, randomised algorithms, network flows and approximation algorithms.|Analyse algorithms using amortised and probabilistic analysis;Design algorithms for network flow and matching problems;Develop approximation algorithms for NP-hard problems
CS-603|Advanced Operating Systems|3|REGULAR|Distributed operating systems, advanced synchronisation, virtualisation and OS research papers.|Explain the design of distributed and virtualised operating systems;Analyse advanced synchronisation and scheduling techniques;Critique recent research papers in operating systems
CS-605|Advanced Computer Architecture|3|REGULAR|Instruction-level parallelism, memory hierarchy, multiprocessors and GPU architectures.|Analyse pipelining and instruction-level parallelism;Evaluate memory hierarchy designs for performance;Explain multiprocessor and GPU architectures
CS-607|Research Methodology|3|REGULAR|Research process, literature review, research design, quantitative and qualitative methods and academic writing.|Formulate research questions from a literature review;Design research studies using appropriate methods;Write a research proposal following academic conventions
CS-602|Advanced Theory of Computation|3|REGULAR|Computability, decidability, reductions, complexity classes and the theory of NP-completeness.|Prove the decidability or undecidability of problems;Apply reductions between computational problems;Classify problems into complexity classes
CS-604|Distributed Systems|3|REGULAR|Communication, naming, synchronisation, consistency, replication and fault tolerance in distributed systems.|Explain the architectures of distributed systems;Analyse consistency and replication protocols;Design fault-tolerant distributed applications
CS-606|Advanced Database Management Systems|3|REGULAR|Query optimisation, distributed databases, NoSQL systems and data warehousing.|Analyse query processing and optimisation strategies;Design distributed and NoSQL databases;Build data warehouses for analytical workloads
AI-651|Advanced Machine Learning|3|REGULAR|Probabilistic models, kernel methods, ensemble learning, representation learning and research trends.|Apply probabilistic models and kernel methods to learning problems;Evaluate ensemble and representation learning methods;Critique recent research in machine learning
CS-701|MS Thesis I|3|PROJECT|First part of the MS thesis: literature review, problem formulation and research proposal.|Conduct a critical literature review in the research area;Formulate a research problem and objectives;Design a research methodology;Present and defend the research proposal
CS-703|Advanced Computer Networks|3|REGULAR|Software-defined networking, network performance, wireless networks and data centre networking.|Analyse the performance of network protocols;Design software-defined networks;Evaluate data centre and wireless network architectures
CS-705|Advanced Information Security|3|REGULAR|Applied cryptography, secure protocols, intrusion detection, malware analysis and security research.|Analyse cryptographic protocols for security properties;Evaluate intrusion detection and malware analysis techniques;Critique recent research in information security
AI-751|Advanced Computer Vision|3|REGULAR|3D vision, visual recognition, segmentation, generative models and vision transformers.|Apply 3D reconstruction and multi-view geometry techniques;Develop deep models for recognition and segmentation;Critique recent research in computer vision
CS-702|MS Thesis II|3|PROJECT|Second part of the MS thesis: experiments, analysis, thesis writing and final defence.|Carry out experiments according to the research methodology;Analyse and interpret research results;Write the thesis following academic standards;Defend the thesis before an examination committee
CS-704|Cloud Computing and Virtualization|3|REGULAR|Virtualisation, cloud resource management, serverless computing and cloud research problems.|Explain virtualisation and cloud resource management;Design serverless and microservice-based cloud applications;Critique recent research in cloud computing
CS-706|Blockchain and Distributed Ledgers|3|REGULAR|Consensus protocols, scalability, smart contract security and research directions in distributed ledgers.|Analyse consensus protocols for distributed ledgers;Evaluate the scalability and security of blockchain systems;Critique recent research in distributed ledger technology
AI-752|Advanced Natural Language Processing|3|REGULAR|Transformers, pre-trained language models, information extraction, machine translation and NLP research.|Apply pre-trained language models to NLP tasks;Evaluate machine translation and information extraction systems;Critique recent research in natural language processing
